"","x"
"WDR62",-2.86200910035063
"IPPK",-1.67016052159894
"YOD1",-2.02451476379567
"TMED10",1.34136676384771
"CRTAP",1.74358587729707
"SLC39A6",0.903155810618114
"CSNK1D",-0.628853951798809
"PIAS3",0.756361116315962
"DNTTIP2",-1.80521937358266
"GLT8D2",1.21896201553631
"SCD",2.42429023466561
"FANCD2",-1.04360129191662
"MRPL10",-1.00981145950679
"CTPS1",-1.7115045571275
"STYXL1",-0.790019030717081
"CRNDE",1.0897928144822
"ZNF83",1.07995257381222
"STAT2",1.26992045995824
"CERS6",0.832981567921558
"PDPK1",-0.826385567587534
"CENPL",-2.01216259143861
"FAM217B",1.38666083420932
"SPRY4",-0.922184683172982
"G6PD",1.26171205494045
"SCD5",1.07199580061191
"SMARCA1",0.910931275253232
"WRAP53",-1.83126812938537
"CHST3",-0.967038646460305
"NUP98",-0.896876301780245
"NOP56",-1.51926372294159
"PRDM4",-1.80099365410442
"ADGRG2",1.97711661106317
"HARBI1",-2.09565288202003
"MELK",-1.83162460285806
"ANGPTL3",1.57761814872258
"PPP4R2",-0.787663520369483
"SGPP2",-2.4451881683568
"COPS3",-1.45152688919402
"RAB14",-0.613860363098715
"PCDHB6",1.4671957840822
"NOM1",-1.1784782599999
"ATP6V1FNB",-1.23699971339909
"ZFHX4",1.16788669367907
"HIST1H2AM",-2.00653517246135
"SMC3",-0.88030108862331
"MORF4L1",0.801919326666738
"CCT4",-1.01133903793273
"IL10RB",1.53118911969608
"KLF15",-2.39166074822079
"PCDHGA4",2.00935827201093
"ERN1",-0.954304945620835
"TICAM1",-2.31349573868093
"CCPG1",1.02804128156329
"MTHFD1L",-0.959174668555021
"PDE4A",1.17519496069391
"MAP3K10",-1.54829929067799
"ATP6AP1",0.894317300658977
"FUT8",0.754700419180369
"ERAP1",0.653788076641688
"GMDS",1.23350764684055
"BCLAF3",1.07374178592307
"TSPO",0.792966857333629
"ATG3",-0.919001786843
"ARMCX4",-1.10457597567722
"HIST1H4B",-2.81280259144568
"SEC23IP",-0.917814624405939
"MFSD10",0.840297573612206
"PXMP4",1.1450186382557
"AFTPH",-1.15552810083256
"TOMM40",-1.54293395176482
"CNST",-0.767831709707382
"P4HA1",1.54194092614998
"FAM234A",1.12177209816214
"OPTN",-0.73001024337459
"SEMA4A",-1.89576479112592
"TNS1",1.07645766422295
"TVP23C",1.39151123485806
"MAPRE2",0.893062383377294
"DGKA",1.15755898965082
"ADAM10",1.52144681647413
"SIAE",1.17865584802188
"ZNF768",-1.32388780754275
"RARA",-1.46264950395363
"MYO1E",0.947936808487661
"KCNE4",1.53996628999678
"HTT",0.650297182604923
"TMEM123",0.816971693665161
"TRA2B",-1.3411173101889
"FAM111A",-1.26187162862856
"TBC1D22B",-1.49685502443966
"DOCK11",1.23811037154118
"FAM8A1",0.798296474560795
"MED20",0.934246415069692
"INSIG2",1.47955058821098
"PAK3",-1.72223257403186
"FAM160B1",1.14603957678625
"E2F2",-1.62643311423618
"SLC6A20",-2.47650288336306
"ATP8B1",0.88997207834433
"PCDHB5",1.77606083975283
"ZMPSTE24",-0.809993909765509
"ACBD7",1.43630774940959
"CHMP4B",-0.992189792581791
"TKT",0.997284757567586
"CXCL8",-5.40861555586075
"PCDH10",1.89281158203098
"TSHZ1",1.43785908503115
"SOS2",0.746338059878344
"ADAT3",-1.62674500472566
"LSMEM1",-2.23083761601109
"PI4KB",-0.694543433260058
"SLC2A6",-1.6381797796585
"REXO4",-1.28485244601816
"SCAMP5",2.1542551894627
"RPAP1",-0.898428516719962
"TTC30A",1.3901938304971
"METAP1D",0.997648061743202
"SLC35A3",1.06182375175914
"ZNF530",-1.33995019211284
"AKAP11",0.70243860493377
"CYP27A1",1.24729562637123
"ABCC4",0.721051968125295
"ATPAF1",0.931507592263386
"UQCRFS1",-1.1440450191571
"FAM53C",-1.36836253751771
"EZH2",-1.54912170446204
"ODC1",-1.97696404017141
"ABCA3",1.04041872901651
"ILF2",-1.27259994476251
"SETD1A",-0.807161389995229
"RAD54L2",-1.24968892908462
"ADAM9",0.913085811254746
"ZNF362",1.24522210822366
"PBK",-1.22820043062013
"MTERF2",0.923146632405516
"FKBP10",1.0223665454155
"FBXL13",1.00623224060107
"THAP10",-1.49640005966191
"SEC22B",0.975045482659529
"TRIP6",-0.670557019723857
"FBXL18",-1.56124342402232
"YPEL3",1.94925533909645
"RNF122",1.72888310023092
"RUVBL1",-1.18560912188722
"PPP3CA",0.742152057202106
"SNRNP48",-0.827552484021062
"KPNA4",-0.721652054495082
"RETREG2",1.10313110893497
"ELF1",-0.762365772058239
"LNPK",0.775808295220426
"FAM69A",1.20275715524766
"IFI44L",1.68216427768158
"PI4K2A",-1.67682117150678
"TMEM143",1.92764703587639
"RHOB",-1.7156899664776
"CALHM2",1.03402367479946
"THOP1",-1.81096652560279
"HIST1H3B",-2.76527445617792
"HTRA1",1.02923557854042
"TMEM231",0.908558020982821
"RMDN1",0.875599660916371
"GAB1",1.20072420455764
"BNC2",0.925220211941383
"HIST1H4F",-2.97863674152371
"NXT1",-1.55795724135252
"FADS1",1.53428784659835
"FAM102B",1.51474398895321
"UIMC1",-1.49411869583046
"TEX2",-0.74654852905859
"ZC3H4",-1.20926507754002
"NIFK",-1.57431016960672
"ASPH",0.977827390904336
"CDC25A",-2.74174919254838
"SLC4A2",-0.897094420606441
"LTO1",-1.61846060637992
"ZNF669",-1.79068190888922
"GPATCH8",-0.927304760392877
"CDK5R1",-1.82529068771985
"EIF4G1",-0.915461173213743
"TOP3A",-1.06953096116943
"CYP27B1",-2.01226847788249
"SAMD4A",-0.892439664956102
"TGOLN2",1.15291040250971
"C19orf48",-1.74505876122391
"POLR2A",0.67128627893226
"WNT4",-3.11967820712891
"CDC20",-2.5712743664812
"TRIL",2.0116121615914
"NUDT11",1.07440673348294
"ZNF207",-1.10038456999604
"TUT1",-1.2198097131611
"EIF6",-1.42996284954923
"STARD3NL",0.802112539699777
"ZFR",-0.733739165632566
"DDX60L",1.20707037813724
"GAMT",1.17385310931824
